naziv proizvoda	šifra proizvoda	marka proizvoda	neto količina(KG)	jedinica mjere	maloprod.cijena(EUR)	akc.cijena, A=akcija	kol.jed.mj.	jed.mj. (1 KOM/L/KG)	cijena jed.mj.(EUR)	MPC poseb.oblik prod	Najniža MPC u 30dana	Sidrena cijena	barkod	WG
L`Angelica Sapun teku.Purifying refill1L	20717421	L`Angelica	1	KOM	       3,49		1.000					MPC 2.5.2025=2,95€	8017331077016	KOZMETIKA
Lip Smacker Balzam za usne Coca Cola4g	20717422	Lip Smacker	0.004	KOM	       2,55		1.000					MPC 2.5.2025=2,55€	050051119114	KOZMETIKA
KVeg.Hummus pikant 200 g vg.	20717482	K-Take it veggie	0.200	KOM	       1,39		1	KG	6,95			MPC 2.5.2025=1,39€	5901592128965	HRANA
Madre natura Ajvar domaći blagi 550g	20717516	Madre natura	0.550	KOM	       8,99		1	KG	16,35			MPC 2.5.2025=8,99€	3859892918996	HRANA
Madre natura Ljutenica ekstra 550g	20717517	Madre natura	0.550	KOM	       6,99		1	KG	12,71			MPC 2.5.2025=7,99€	3859892918132	HRANA
Madre natura Zakuska blaga 550g	20717520	Madre natura	0.550	KOM	       7,89		1	KG	14,35			MPC 2.5.2025=7,89€	3859892918149	HRANA
Grisbi Keksi punj. kremom od limuna 135g	20717588	Grisbi	0.135	KOM	       1,85	A	1	KG	13,7	       1,85	2,29	MPC 2.5.2025=2,25€	8000350007935	HRANA
Grisbi Keksi punj. kremom od lješnj.135g	20717589	Grisbi	0.135	KOM	       1,85	A	1	KG	13,7	       1,85	2,29	MPC 2.5.2025=2,15€	8000350007928	HRANA
Grisbi Keksi punjeni čoko.kremom 135g	20717593	Grisbi	0.135	KOM	       1,85	A	1	KG	13,7	       1,85	2,29	MPC 2.5.2025=2,25€	8000350007911	HRANA
Segafredo Kapsule Classico 51g	20717924	Segafredo	0.051	KOM	       4,49		1	KG	88,04			MPC 2.5.2025=4,49€	8003410249306	HRANA
Segafredo Kapsule Intenso 51g	20717925	Segafredo	0.051	KOM	       4,59		1	KG				MPC 2.5.2025=4,59€	8003410249313	HRANA
Segafredo Kapsule Ristretto 51g	20717926	Segafredo	0.051	KOM	       4,59		1	KG				MPC 2.5.2025=4,59€	8003410249320	HRANA
Segafredo Kapsule 100% Arabica 51g	20717927	Segafredo	0.051	KOM	       4,49		1	KG	88,04			MPC 2.5.2025=4,49€	8003410249337	HRANA
KFav.Kava mljevena Crema Kolumbijska250g	20718073	K-Favourites	0.250	KOM	       5,69		1	KG	22,76			MPC 2.5.2025=5,69€	5901211000566	HRANA
Colgate Četkica za zube Ultra Soft 2/1	20718080	Colgate	0.030	KOM	       6,29		1	KOM	3,145			MPC 2.5.2025=6,29€	8718951643598	KOZMETIKA
KFav.Kava u zrnu Crema Kolumbijska 500g	20718085	K-Favourites	0.500	KOM	      11,99		1	KG	23,98			MPC 2.5.2025=11,99€	5901211000573	HRANA
Staročeško Pivo svijetlo 4,8% 6x0,5L LIM	20718136	Staročeško	3	KOM	       5,69	A	1	L	1,697	       5,69	5,69	MPC 26.08.2025=5,89€	3859893750366	PIĆE
Borotalco Deo u spreju Men Pure 150ml	20718144	Borotalco	0.100	KOM	       4,19		1	L	27,93			MPC 2.5.2025=3,89€	8002410045949	KOZMETIKA
KBio.Kava mljevena espresso 250g	20718289	K-Bio	0.250	KOM	       8,49		1	KG	33,96			MPC 2.5.2025=8,49€	5901211000085	HRANA
Maggi Umak Hot&Sweet Chili 362g	20718474	Maggi	0.362	KOM	       3,99		1	KG	11,02			MPC 2.5.2025=3,99€	8445291218710	HRANA
Maggi Umak sweet chili 225g	20718475	Maggi	0.225	KOM	       3,99		1	KG	17,73			MPC 2.5.2025=3,99€	8445291156678	HRANA
Maggi Umak Teriyaki 65g	20718593	Maggi	0.065	KOM	       1,59		1	KG	24,46			MPC 2.5.2025=1,59€	8445291189850	HRANA
Maggi Umak Extra Hot Chili 361g	20718601	Maggi	0.361	KOM	       3,99		1	KG	11,05			MPC 2.5.2025=3,99€	8445291218260	HRANA
Maggi Umak Pad Thai 65g	20718602	Maggi	0.065	KOM	       1,79		1	KG	27,54			MPC 2.5.2025=1,79€	8445291189409	HRANA
Maggi Umak fried noodles 225g	20718603	Maggi	0.225	KOM	       3,99		1	KG	17,73			MPC 2.5.2025=3,99€	8445291156586	HRANA
Maggi Umak Teriyaki 225g	20718604	Maggi	0.225	KOM	       3,49		1	KG	15,51			MPC 2.5.2025=3,49€	8445291156647	HRANA
Maggi Umak Tikka masala 65g	20718614	Maggi	0.065	KOM	       1,79		1	KG	27,54			MPC 2.5.2025=1,79€	8445291189836	HRANA
Juneći rep	20718637	#	1	KG	      11,99		1.000					MPC 2.5.2025=11,99€	2800101000000	HRANA
KLC.NMNP.Voda negazirana 7L	20718642	K-Classic	7	KOM	       1,45		1	L	0,207			MPC 2.5.2025=1,45€	3858893131090	PIĆE
Bev.Vodica za usta Sensitive 500 ml	20718686	Bevola	0.538	KOM	       1,45		1	L	 2,9			MPC 2.5.2025=1,45€	4011609011492	KOZMETIKA
Bev.Vodica za usta Fresh 500 ml	20718687	Bevola	0.538	KOM	       1,45		1	L	 2,9			MPC 2.5.2025=1,45€	4011609011539	KOZMETIKA
Adnams Pivo svj.Ghost Sh.ale4,5%0,44lLIM	20718847	Adnams	0.440	KOM	       2,29		1	L	4,977			MPC 2.5.2025=2,69€	5016878010664	PIĆE
Brewdog Pivo tam.Bla.hea.ale4,1%0,44lLIM	20718848	Brewdog	0.440	KOM	       3,15		1	L	6,932			MPC 2.5.2025=3,32€	5056025471368	PIĆE
Brewdog Pivo svj.Wing.ipa ale4,3%0,5lLIM	20718849	Brewdog	0.500	KOM	       3,15		1	L	 6,1			MPC 2.5.2025=3,08€	5056025476097	PIĆE
Schneider W.Pivo t.ale Adv.8.2%0,5l LIM	20718890	Schneider Weisse	0.500	KOM	       3,45		1	L	 6,7			MPC 2.5.2025=3,32€	4003669031022	PIĆE
Taft Balzam za kosu Curl 150 ml	20718895	Taft	0.150	KOM	       5,99		1	L	39,93			MPC 2.5.2025=5,99€	9000101723700	KOZMETIKA
Schogetten Čokol.vanil.Freeze me100g	20718941	Schogetten	0.100	KOM	       1,25		1	KG	12,5			MPC 5.6.2025=1,75€	4000415834005	HRANA
Schogetten Čokol.jago.Freeze me100g	20718995	Schogetten	0.100	KOM	       1,25		1	KG	12,5			MPC 5.6.2025=1,75€	4000415834203	HRANA
Gecchele Kornet Ljeto 14/1 50 g	20719124	Gecchele	0.050	KOM	       1,89		1	KG	37,8			MPC 2.5.2025=1,89€	8015854191110	HRANA
Violeta Papir toal.vlaž.family pack100/1	20719131	Violeta	0.431	KOM	       2,89		1	KOM	0,029			MPC 2.5.2025=2,89€	3870128031326	PROIZVODI ZA KUĆANSTVO
Violeta Ulošci hig.AirFit night 10/1_OC	20719132	Violeta	0.110	KOM	       1,85		1	KOM	0,185			MPC 2.5.2025=1,85€	3870128041011	TOALETNE POTREPŠTINE
Violeta Uloš.hig.Cotton day&night 2x9_OC	20719134	Violeta	0.232	KOM	       2,45		1	KOM	0,136			MPC 2.5.2025=2,29€	3870128037427	TOALETNE POTREPŠTINE
Violeta Papirn.ručnici Economy 2sl. 2/1	20719135	Violeta	0.226	KOM	       1,75		1	KOM	0,875			MPC 2.5.2025=1,75€	3870128000100	PROIZVODI ZA KUĆANSTVO
Violeta Papirn.ručnici Economy 2sl. 4/1	20719136	Violeta	0.451	KOM	       2,95		1	KOM	0,738			MPC 2.5.2025=2,95€	3870128000094	PROIZVODI ZA KUĆANSTVO
Violeta Papir toalet. Lavanda 3sl. 16/1	20719137	Violeta	1.170	KOM	       5,99		1	KOM	0,374			MPC 2.5.2025=5,89€	3859892288051	PROIZVODI ZA KUĆANSTVO
Violeta Papir toalet.vlažni neven 2x60	20719138	Violeta	0.544	KOM	       3,69		1	KOM	0,031			MPC 2.5.2025=3,69€	3870128018204	PROIZVODI ZA KUĆANSTVO
Violeta Papirn.ručnik All in 1 2sl. 1/1	20719139	Violeta	0.481	KOM	       3,45		1.000					MPC 2.5.2025=3,45€	3858893660620	PROIZVODI ZA KUĆANSTVO
Persil Deterd.za rub.Expe.Sens.20pr.990g	20719346	Persil	0.990	KOM	       8,99		1	KG	9,081			MPC 2.5.2025=8,49€	9000101802689	SREDSTVA ZA ČIŠĆENJE
Persil Dete.za rub.Exp.Fres.Sil.18pr990g	20719348	Persil	0.990	KOM	       8,99		1	KG	9,081			MPC 2.5.2025=8,49€	9000101804775	SREDSTVA ZA ČIŠĆENJE
Bev.Toaletni papir vlažni Ult.Sens2x50/1	20719488	Bevola	0.498	KOM	       2,49		1	KOM	0,025			MPC 2.5.2025=2,49€	4063367426513	PROIZVODI ZA KUĆANSTVO
KLC.Čokolada mliječ.Mačiji jezici 100g	20719510	K-Classic	0.100	KOM	       1,99		1	KG	19,9			MPC 2.5.2025=1,99€	4013900509203	HRANA
Persil Kapsu.za rub.Expert Freshne.17/1	20719541	Persil	0.220	KOM	      13,99		1	KG	49,96			MPC 2.5.2025=13,99€	9000101801538	SREDSTVA ZA ČIŠĆENJE
Axe Deo u spreju Black Vanilla 150ml	20719677	Axe	0.097	KOM	       2,70	A	1	L	  18	       2,70	5,49	MPC 2.5.2025=5,49€	8720181418402	KOZMETIKA
Sudocrem Krema zaštitna za bebe 60 g	20719704	Sudocrem	0.060	KOM	       5,99		1	KG	99,83			MPC 2.5.2025=4,89€	3850114243421	KOZMETIKA
viGO! Vreće za smeće 20L 14/1	20719705	viGO!	0.126	KOM	       3,59		1	KOM	0,256			MPC 2.5.2025=3,59€	5902841471139	PROIZVODI ZA KUĆANSTVO
OptiLine Vrećice za domaćinstvo 8L 25/1	20719706	OptiLine	0.170	KOM	       1,99		1	KOM	0,08			MPC 2.5.2025=1,99€	3858891880679	PROIZVODI ZA KUĆANSTVO
KLC.Čokolada Mačiji jezici 100g	20719804	K-Classic	0.100	KOM	       1,99		1	KG	19,9			MPC 2.5.2025=1,99€	4013900509227	HRANA
KLC.Sredstvo za čišćenje kupao.Eco 0,75L	20719956	K-Classic	0.769	KOM	       2,49		1	L	3,32			MPC 2.5.2025=2,49€	4022142114014	SREDSTVA ZA ČIŠĆENJE
Dove Gel za tuš.Fruity nourish 450ml	20720412	Dove	0.467	KOM	       5,99		1	L	13,31			MPC 2.5.2025=4,99€	8720181468407	KOZMETIKA
Dove Gel za tušir.Silky velvet 250ml_OC	20720413	Dove	0.260	KOM	       2,99		1	L	11,96			MPC 2.5.2025=2,99€	8720181468513	KOZMETIKA
Dove Gel za tušira.Gentle pamper250ml_OC	20720414	Dove	0.260	KOM	       2,99		1	L	11,96			MPC 2.5.2025=2,99€	8720181471551	KOZMETIKA
Dove Gel za tušira.Fresh care 250ml_OC	20720416	Dove	0.260	KOM	       2,99		1	L	11,96			MPC 2.5.2025=2,99€	8720181471759	KOZMETIKA
Dove Gel za tuširanje Hydrate 450 ml	20720418	Dove	0.467	KOM	       5,99		1	L	13,31			MPC 2.5.2025=5,99€	8720181466502	KOZMETIKA
Dove Gel za tuširanje Petal soft 450 ml	20720420	Dove	0.467	KOM	       5,99		1	L	13,31			MPC 2.5.2025=5,99€	8720181471599	KOZMETIKA
Dove Gel za tuširanje Gentle pamper450ml	20720421	Dove	0.467	KOM	       5,99		1	L	13,31			MPC 2.5.2025=5,99€	8720181471728	KOZMETIKA
Dove Gel za tuširanje Fresh care 450 ml	20720422	Dove	0.467	KOM	       5,99		1	L	13,31			MPC 2.5.2025=5,99€	8720181471742	KOZMETIKA
Kasteel Pivo Ale Rouge 8%0,5L LIM	20720496	Kasteel	0.500	KOM	       3,85		1	L	 7,5			MPC 2.5.2025=3,52€	5411081006112	PIĆE
Kasteel Pivo Ale Rubus Framb.7%0,5L LIM	20720525	Kasteel	0.500	KOM	       3,85		1	L	 7,5			MPC 2.5.2025=3,52€	5411081010119	PIĆE
Tom Tailor Parfem.voda Hap.to be wom30ml	20720532	Tom Tailor	0.164	KOM	      20,99		1.000					MPC 2.5.2025=20,99€	4011700603268	KOZMETIKA
Tom Tailor Toaletna voda muš.Perspec30ml	20720653	Tom Tailor	0.184	KOM	      20,99		1.000					MPC 2.5.2025=20,99€	4011700603121	KOZMETIKA
Tom Tailor Toaletna voda muš.Adventu30ml	20720687	Tom Tailor	0.184	KOM	      20,99		1.000					MPC 2.5.2025=20,99€	4011700603046	KOZMETIKA
Pedigree Hrana za pse Junior pera.pov2kg	20720713	Pedigree	2	KOM	      10,49		1	KG	5,245			MPC 2.5.2025=10,49€	5998749145111	PROIZVODI ZA KUĆANSTVO
Jeruzalem Ormož Vino bij.Sauvignon 0,75L	20720921	Jeruzalem Ormož	0.750	KOM	       9,15		1	L	12,07			MPC 2.5.2025=8,62€	3830078701724	HRANA
Čokolino Protein Power whey 350g	20720930	Čokolino	0.350	KOM	       5,49		1	KG	15,69			MPC 2.5.2025=5,69€	3856020264789	HRANA
Biobaza Krema dječja zaštitna Baby 550ml	20720996	Biobaza	0.512	KOM	      11,85		1	L	21,55			MPC 2.5.2025=10,49€	3859889915847	KOZMETIKA
Podravka Kobasica Ljuta 250g	20721009	Podravka	0.250	KOM	       5,79		1	KG	23,16			MPC 2.5.2025=6,49€	3856020271756	HRANA
Podravka Kobasica Srijemska 80g	20721010	Podravka	0.080	KOM	       1,99		1	KG	24,88			MPC 2.5.2025=1,99€	3856020213213	HRANA
Podravka Kobasica Čajna 250g	20721011	Podravka	0.250	KOM	       5,79		1	KG	23,16			MPC 2.5.2025=6,49€	3856020271695	HRANA
Podravka Kobasica Češnjovka 250g	20721012	Podravka	0.250	KOM	       5,79		1	KG	23,16			MPC 2.5.2025=6,49€	3856020271725	HRANA
St.Jerome Vino bijelo vrh.Pušipel 0,75L	20721057	St.Jerome	0.750	KOM	      12,52		1	L	16,56			MPC 2.5.2025=12,52€	3858893390619	HRANA
St.Jerome Vino bij.vrh.Rajnski riz.0,75L	20721058	St.Jerome	0.750	KOM	      11,52		1	L	15,23			MPC 2.5.2025=11,52€	3858893390657	HRANA
St.Jerome Vino bij.vrh.Sauvignon0,75L	20721059	St.Jerome	0.750	KOM	      12,52		1	KG	16,56			MPC 2.5.2025=12,52€	3858893390626	HRANA
St.Jerome Vino bij.vrh.Traminac pr.0,75L	20721060	St.Jerome	0.750	KOM	      12,52		1	KG	16,56			MPC 2.5.2025=12,52€	3858893390756	HRANA
St.Jerome Vino bij.vrh.Zel.Silvanac0,75L	20721061	St.Jerome	0.750	KOM	      12,52		1	L	16,56			MPC 2.5.2025=12,52€	3858893390633	HRANA
KBio.Kvasac suhi 3x7g	20721106	K-Bio	0.021	KOM	       1,99		1.000					MPC 23.07.2025=1,99€	4067776048311	HRANA
KBio.Prah učvrščivać za šlag 3x6g vg.	20721113	K-Bio	0.018	KOM	       0,89		1.000					MPC 24.07.2025=0,89€	4067776048328	HRANA
KBio.Prašak za pecivo 3x17g vg.	20721185	K-Bio	0.051	KOM	       0,99		1	KG	19,41			MPC 23.07.2025=0,99€	4067776048304	HRANA
KLC.Piškote bez šeć.korice 400g	20721198	K-Classic	0.400	KOM	       1,75		1	KG	4,375			MPC 2.5.2025=1,75€	8015997002953	HRANA
Liking Sweetly Bomboni menta i sladi350g	20721231	Liking	0.350	KOM	       3,09		1	KG	8,829			MPC 2.5.2025=3,09€	8002415500047	HRANA
Liking Sweetly Bomboni jagoda 350g	20721232	Liking	0.350	KOM	       3,09		1	KG	8,829			MPC 2.5.2025=3,09€	8002415500016	HRANA
Brain Blasterz Bomboni voćni mix 45g	20721233	Brain Blasterz	0.045	KOM	       1,25		1.000					MPC 2.5.2025=1,59€	96033579	HRANA
St.Jerome Vino bij.vrh.Chardonnay0,75L	20721239	St.Jerome	0.750	KOM	      14,02		1	L	18,56			MPC 2.5.2025=14,02€	3858893390640	HRANA
St.Jerome Vino bijelo Graševina 0,75 L	20721241	St.Jerome	0.750	KOM	      11,52		1	L	15,23			MPC 2.5.2025=11,52€	3858893390664	HRANA
St.Jerome Vino bij.Muškat Ottonel0,75L	20721243	St.Jerome	0.750	KOM	      11,02		1	L	14,56			MPC 2.5.2025=11,02€	3858893390688	HRANA
St.Jerome Vino bijelo Muškat žuti 0,75L	20721245	St.Jerome	0.750	KOM	      12,02		1	L	15,89			MPC 2.5.2025=12,02€	3858893390671	HRANA
Podravka Juha krem od gljiva 500mlUHT	20721248	Podravka	0.500	KOM	       2,49		1	L	4,98			MPC 2.5.2025=2,49€	3856020264697	HRANA
Podravka Juha krem od rajčice500ml UHT	20721251	Podravka	0.500	KOM	       1,99		1	L	3,98			MPC 2.5.2025=1,99€	3856020264727	HRANA
Vegeta Natur Pasta povrtna 190g	20721255	Vegeta Natur	0.190	KOM	       1,99		1	KG	10,47			MPC 2.5.2025=1,99€	3856020263416	HRANA
Vegeta Natur Grill pikatna piletina30g	20721256	Vegeta Natur	0.030	KOM	       1,19		1.000					MPC 2.5.2025=1,19€	3850104277221	HRANA
Vegeta Natur Grill povrće 30 g	20721257	Vegeta Natur	0.030	KOM	       1,19		1.000					MPC 2.5.2025=1,19€	3856020247461	HRANA
Vidal Bomboni Party mix 150g	20721264	Vidal	0.150	KOM	       2,99		1	KG	19,93			MPC 2.5.2025=2,99€	8413178193566	HRANA
Jimmy Fantas.Keksi punje.čok.i lješ.145g	20721265	Jimmy Fantastic	0.145	KOM	       2,49		1	KG	17,17			MPC 2.5.2025=2,49€	8600939843475	HRANA
Jimmy Fantas.Keksi punjeni mlij.čok.145g	20721266	Jimmy Fantastic	0.145	KOM	       2,49		1	KG	17,17			MPC 2.5.2025=2,49€	8600939843468	HRANA
Vegeta Natur Pasta luk 190g	20721270	Vegeta Natur	0.190	KOM	       1,99		1	KG	10,47			MPC 2.5.2025=1,99€	3856020263508	HRANA
Podravka Juha pileća abeceda 60g	20721272	Podravka	0.060	KOM	       0,89		1	KG	14,83			MPC 2.5.2025=0,89€	3856020261634	HRANA
Tutti Frutti Bomboni tvrdi voćni mix 1kg	20721274	Tutti Frutti	1	KOM	       5,69		1.000					MPC 2.5.2025=5,69€	5900353550182	HRANA
St.Jerome Vino pjen.bij.Chardonnay0,75L	20721275	St.Jerome	0.750	KOM	      20,02		1	L	26,56			MPC 2.5.2025=20,02€	3858893390725	PIĆE
Juicy Drop Dipperz Bomb. gum.voć.mix 96g	20721277	Juicy Drop	0.096	KOM	       4,39		1	KG	45,73			MPC 2.5.2025=4,39€	5011053025891	HRANA
Eurocrem Kornet Mini 65g	20721278	Eurocrem	0.065	KOM	       0,89		1	KG	13,69			MPC 2.5.2025=0,79€	8601900501042	HRANA
Svinjsko carsko češnjak marinada	20721301	Pisinium	1	KG	       7,99		1.000					MPC 2.5.2025=7,99€	2800098000000	HRANA
Vindon pureći ćevapčići 532 g	20721321	Vindon	0.532	KOM	       5,79		1	KG	10,88			MPC 2.5.2025=4,89€	3850339419090	HRANA
Bugatti Parfemska voda žen.Bella Don60ml	20721375	Bugatti	0.268	KOM	      23,99		1	L	399,8			MPC 2.5.2025=23,99€	4051395421167	KOZMETIKA
Dolcela Vanilin šećer 8g	20721376	Dolcela	0.008	KOM	       0,19		1.000					MPC 2.5.2025=0,19€	3856020258511	HRANA
Podravka Juha domaća mesna 62g	20721377	Podravka	0.062	KOM	       1,39		1	KG	22,42			MPC 2.5.2025=1,39€	3856020262952	HRANA
Fant Umak Curry 28 g	20721378	Fant	0.028	KOM	       1,19		1.000					MPC 2.5.2025=1,19€	3856020269401	HRANA
Fant Umak s 4 vrste sira 42g	20721379	Fant	0.042	KOM	       1,19		1.000					MPC 2.5.2025=1,19€	3856020269432	HRANA
Fant Umak krem delikatesni 40g	20721380	Fant	0.040	KOM	       1,19		1.000					MPC 2.5.2025=1,19€	3856020269494	HRANA
Fant Umak sa zelenim paprom 30g	20721381	Fant	0.030	KOM	       1,19		1.000					MPC 2.5.2025=1,19€	3856020269463	HRANA
M&M`s Bomboni čokoladni Crispy 77g	20722656	M&M`s	0.077	KOM	       2,19		1	KG	28,44			MPC 2.5.2025=2,19€	5000159562263	PIĆE
KLC.Amarettini Keksi 250g	20722702	K-Classic	0.250	KOM	       1,99		1	KG	7,96			MPC 2.5.2025=1,99€	4018356035498	HRANA
Lasta Krem štapići kokos krema 200g	20722711	Lasta	0.200	KOM	       1,59	A	1	KG	7,95	       1,59	1,99	MPC 2.5.2025=1,99€	3870128035669	HRANA
Dolcela Vanilin šećer 6x8g 1 gratis	20722714	Dolcela	0.048	KOM	       0,99		1.000					MPC 2.5.2025=0,99€	3856020258726	HRANA
viGO! Papir za peče.za friteze 16cm 50/1	20722715	viGO!	0.100	KOM	       2,99		1	KOM	0,06			MPC 2.5.2025=3,99€	5902841453265	PROIZVODI ZA KUĆANSTVO
viGO! Papir za peče.za friteze 24cm 50/1	20722716	viGO!	0.179	KOM	       7,45		1	KOM	0,149			MPC 2.5.2025=7,45€	5902841453302	PROIZVODI ZA KUĆANSTVO
KLC.Poslastica za mačke pilet. i sir150g	20722763	K-Classic	0.150	KOM	       1,29		1	KG	 8,6			MPC 2.5.2025=1,25€	4063367528453	PROIZVODI ZA KUĆANSTVO
KLC.Poslastica za mačke losos 150g	20722777	K-Classic	0.150	KOM	       1,29		1	KG	 8,6			MPC 2.5.2025=1,25€	4063367528477	PROIZVODI ZA KUĆANSTVO
Vindi Sok mutni 100%cijeđ.jabuka1L TETRA	20722841	Vindi	1	KOM	       1,59		1.000					MPC 2.5.2025=2,49€	3850108074338	PIĆE
GameBoost Piće energe.gazirano250ml LIM	20722926	GameBoost	0.260	KOM	       1,22		1	L	4,48			MPC 2.5.2025=1,22€	3857500157904	PIĆE
Ornel Omekšivač rublja Glow 800ml	20723149	Ornel	0.800	KOM	       3,29		1	L	4,113			MPC 2.5.2025=3,29€	3850105186522	SREDSTVA ZA ČIŠĆENJE
Ornel Omekšivač rublja Lunar 1,6L	20723150	Ornel	1.600	KOM	       5,09		1	L	3,181			MPC 2.5.2025=5,09€	3850105186584	SREDSTVA ZA ČIŠĆENJE
Ornel Omekšivač rublja Lunar 800ml	20723151	Ornel	0.800	KOM	       3,29		1	L	4,113			MPC 2.5.2025=3,29€	3850105186492	SREDSTVA ZA ČIŠĆENJE
Bev.Baby Krema za zaštitu od rana 75ml	20723167	Bevola	0.075	KOM	       1,69		1	L	22,53			MPC 2.5.2025=1,69€	4011609011355	KOZMETIKA
Bev.Baby Krema dječja Sensitiv 75ml	20723168	Bevola	0.075	KOM	       1,19		1	L	15,87			MPC 2.5.2025=1,69€	4011609011393	KOZMETIKA
Rexona Dezodorans u spreju Invisib.150ml	20723184	Rexona	0.098	KOM	       5,29		1	L	35,27			MPC 2.5.2025=5,29€	8720181450419	KOZMETIKA
Cirio Sjeckana rajčica Bio 390g	20723195	Cirio	0.390	KOM	       1,29		1	KG	3,308			MPC 24.6.2025=1,29€	8001440133114	HRANA
Bravo Piće negazi.naran.mrkv.limu.2L TET	20723239	Bravo	2	KOM	       3,19		1	L	1,595			MPC 2.5.2025=2,99€	9008700232043	PIĆE
Colgate Pasta zubna MaxFr.Green T.75ml	20723264	Colgate	0.100	KOM	       3,19		1	L	42,53			MPC 2.5.2025=3,19€	8718951631342	KOZMETIKA
Colgate Pasta zubna MaxWh.Himalay.75ml	20723265	Colgate	0.100	KOM	       3,19		1	L	42,53			MPC 2.5.2025=3,19€	8718951631373	KOZMETIKA
Ornel Omekšivač rublja Glow 1,6L	20723295	Ornel	1.600	KOM	       5,09		1	L	3,181			MPC 2.5.2025=5,09€	3850105186614	SREDSTVA ZA ČIŠĆENJE
Absolut Miješ.alk.pić.Straw&Sp5%0,25lLIM	20723357	Absolut	0.252	KOM	       2,85		1	L	  11			MPC 2.5.2025=2,72€	7312040323104	PIĆE
Frutabela Pločica žit.jagoda i jogur.30g	20723444	Frutabela	0.030	KOM	       0,79		1.000					MPC 2.5.2025=0,75€	3838945501101	HRANA
Frutabela Pločica žit.marelica i jog.30g	20723445	Frutabela	0.030	KOM	       0,79		1.000					MPC 2.5.2025=0,75€	3838945501118	HRANA
Bev.nat.Šampon repair 200ml	20723483	Bevola naturals	0.200	KOM	       2,29		1	L	11,45			MPC 2.5.2025=2,29€	4068829387500	KOZMETIKA
Bev.nat.Regenerator repair 200ml	20723484	Bevola naturals	0.200	KOM	       2,29		1	L	11,45			MPC 2.5.2025=2,29€	4068829387609	KOZMETIKA
Bev.nat.Šampon volumen 200ml	20723487	Bevola naturals	0.200	KOM	       2,29		1	L	11,45			MPC 2.5.2025=2,29€	4068829387708	KOZMETIKA
Paloma Papir toaletni Dino 3sl. 8/1	20723597	Paloma	0.648	KOM	       2,99		1	KOM	0,374			MPC 2.5.2025=2,99€	3838952035118	PROIZVODI ZA KUĆANSTVO
Airwick Osvjež.zraka Linen refill 250ml	20723692	Airwick	0.200	KOM	       6,69		1	L	26,76			MPC 2.5.2025=5,59€	5999109542045	KOZMETIKA
Dukat Lagano jutro Jogu.jag.bez lak.330g	20723729	Dukat	0.330	KOM	       1,59		1	KG	4,818			MPC 2.5.2025=1,59€	3850354018209	HRANA
Dukat Lagano jutro Jogurt bez lakt.330g	20723814	Dukat	0.330	KOM	       1,59		1	KG	4,818			MPC 2.5.2025=1,59€	3850354018186	HRANA
Kviki Štapići 100 g	20723997	Kviki	0.100	KOM	       1,09		1	KG	10,9			MPC 2.5.2025=1,09€	3850104007293	HRANA
Nivea Serum Expert Q10 Dual action 30ml	20724064	Nivea	0.030	KOM	      19,99		1.000					MPC 16.5.2025=18,99€	9005800376882	KOZMETIKA
Bugatti Parfemska voda Bella D.Inten60ml	20724339	Bugatti	0.268	KOM	      23,99		1	L	399,8			MPC 2.5.2025=23,99€	4051395431166	KOZMETIKA
KLC.Džem ekstra od šljiva 450g vg.	20724356	K-Classic	0.450	KOM	       2,39		1	KG	5,311			MPC 2.5.2025=2,39€	4006424966867	HRANA
KLC.Napitak High Protein kakao 350 g PET	20724396	K-Classic	0.350	KOM	       1,59		1	KG	4,257			MPC 2.5.2025=1,52€	9019100694737	PIĆE
KLC.Napitak High Protein vanili.350g PET	20724397	K-Classic	0.350	KOM	       1,59		1	KG	4,257			MPC 2.5.2025=1,52€	9019100694836	PIĆE
Bugatti Toaletna voda muš.Sign.Blac100ml	20724439	Bugatti	0.364	KOM	      23,99		1	L	239,9			MPC 2.5.2025=23,99€	4051395402180	KOZMETIKA
Bugatti Toaletna voda muš.Dyn.amber100ml	20724440	Bugatti	0.374	KOM	      23,99		1	L	239,9			MPC 2.5.2025=23,99€	4051395412165	KOZMETIKA
KBio.Đumbir 200g	20724514	KBio	0.200	KOM	       2,29		1	KG	11,45			MPC 2.5.2025=2,49€	4337185181214	HRANA
KLC.Čokolada alpsko mlijeko 100g_OC	20724629	K-Classic	0.100	KOM	       1,29		1	KG	12,9			MPC 2.5.2025=1,29€	4001743473980	HRANA
KLC.Čokolada bijela 100g	20724665	K-Classic	0.100	KOM	       1,79		1	KG	17,55			MPC 2.5.2025=1,79€	4001743761216	HRANA
Orphea Mamac za muhe i smrdlj.martine4/1	20725059	Orphea	0.060	KOM	       6,39		1	KOM	1,598			MPC 2.5.2025=6,39€	8001365881145	KOZMETIKA
Mr.Magic Odstr.neu.miri.za hlad.ocat40g	20725060	Mister Magic	0.040	KOM	       3,49		1.000					MPC 2.5.2025=3,49€	8001365190247	SREDSTVA ZA ČIŠĆENJE
Biorepair Pasta zubna Pro white75 ml	20725130	Biorepair	0.075	KOM	       4,29		1	L	57,2			MPC 2.5.2025=3,35€	8017331054215	KOZMETIKA
Biorepair Pasta zubna Total Protect.75ml	20725131	Biorepair	0.075	KOM	       4,29		1	L	57,2			MPC 2.5.2025=3,35€	8017331069523	KOZMETIKA
