naziv;šifra;marka;neto kolièina;jedinica mjere;MPC (EUR);cijena za jedinicu mjere (EUR);MPC za vrijeme posebnog oblika prodaje (EUR);Najniža cijena u posljednjih 30 dana (EUR);sidrena cijena na 2.5.2025. (EUR);barkod;kategorija proizvoda
KAŠICA FRUTEK JAB.KEKS 120 g;55095;Fructal;0,1200;kg;1,26;10,50;;;1,26;3838945511353;Hrana
KAŠICA FRUTEK ŠLJIVA KRU.120 g;55096;Fructal;0,1200;kg;1,26;10,50;;;1,26;3838945511407;Hrana
SIR RIBANI SPAR 40 g ;55108;SPAR;0,0400;kg;1,09;27,25;;;1,09;3856021202964;Hrana
LOS.POS.BRIJ.FA SPORT 100 ml;55282;Fa;0,1000;L;5,99;59,90;;;6,19;4015000527453;Kozmetika
ÈOK.DORINA CIJELI LJEŠNJ.100 g;55297;Dorina;0,1000;kg;;18,90;1,89;2,29;1,89;3850102122073;Hrana
ÈAJ AGRISTAR MAJÈ.DUŠICA 30 g;55334;Agristar;0,0300;kg;1,69;56,33;;;1,69;3858886502739;Piæa
SALVETE 38X38cm,25/1 BIJELE;55374;;1,0000;kom;1,69;1,69;;;1,69;3870128001169;Proizvodi za kuæanstvo
SALVETE 38x38cm,25/1,PLAVE ;55378;;1,0000;kom;1,69;1,69;;;1,69;3870128001152;Proizvodi za kuæanstvo
SALVETE 38X38cm,25/1,ROZE ;55379;;1,0000;kom;1,69;1,69;;;1,69;3870128001176;Proizvodi za kuæanstvo
SALVETE 38X38cm,25/1,BEŽ ;55381;;1,0000;kom;1,69;1,69;;;1,69;3870128001183;Proizvodi za kuæanstvo
BRIJAÈ WILKINSON+5 PATRONA ;55555;Wilkinson;1,0000;kom;5,99;5,99;;;5,99;4027800015504;Kozmetika
VINO POSTUP ROSO 0,75 L;55620;;0,7500;l;12,09;16,12;;;12,09;3859888568303;Piæa
GAZ.PIÆE COCA-COLA ZERO 0,5 L;55622;Coca-Cola;0,5000;l;1,19;2,38;;;1,15;5449000131836;Piæa
GAZIRA.PIÆE COCA-COLA ZERO 2 L;55623;Coca-Cola;2,0000;l;2,35;1,18;;;2,29;5449000131843;Piæa
GAZ.PIÆE COCA-COLA ZERO 1 L;55677;Coca-Cola;1,0000;l;1,59;1,59;;;1,48;5449000133328;Piæa
KVASAC SVJEŽI DIGO 42 g;55837;Zvijezda;0,0420;kg;0,55;13,10;;;0,69;3858887683444;Hrana
ŽELATINA DOLCELA INSTANT 20 g;55865;Podravka;0,0200;kg;1,29;64,50;;;1,29;3850104227516;Hrana
ŽELATINA MLJEVENA PODRAV.10 g;55866;Podravka;0,0100;kg;0,89;89,00;;;0,89;3850104227523;Hrana
BRIJAÈ GILLETTE FUSION 2UP;55970;Gillette;1,0000;kom;13,49;13,49;;;13,19;7702018866946;Kozmetika
PATRONE GILLETTE FUSION 4/1;55987;Gillette;4,0000;kom;19,99;5,00;;;18,39;7702018867219;Kozmetika
PATRONE GILLETTE FUSION 4/1;55988;Gillette;4,0000;kom;;4,25;16,99;19,76;19,76;7702018866984;Kozmetika
ŽVAKE ORBIT WHITE SPEARMI.14 g;56044;Wrigley;0,0140;kg;0,99;70,71;;;0,99;42113164;Hrana
ÈAJ PODRAVKA BRUSNICA 40 g;56077;Podravka;0,0400;kg;1,95;48,75;;;1,92;3850104229169;Piæa
ZAÈ.PAPAR CR.MLJ.KOTANYI 50 g;56425;Kotanyi;0,0500;kg;3,99;79,80;;;3,44;9001414040409;Hrana
ZAÈ.PAPAR MJEŠ.KOTANYI 40 g;56426;Kotanyi;0,0400;kg;3,99;99,75;;;3,44;9001414040867;Hrana
ZAÈIN ÈEŠNJAK GRA.KOTANYI 70 g;56434;Kotanyi;0,0700;kg;3,29;47,00;;;2,99;9001414040218;Hrana
ZAÈ.PAP.ŠAR.MJEŠ.KOTANYI 16 g;56443;Kotanyi;0,0160;kg;1,72;107,50;;;1,72;9001414015117;Hrana
VRH.ZA KUH.MEGGLE 20%MM 500 ml;56557;Meggle;0,5000;L;3,29;6,58;;;3,39;3870085021835;Hrana
VINO KRAUTHAKER ROSE CUVEE 1L;56782;;1,0000;l;5,49;5,49;;;5,49;3859892481179;Piæa
LIKER BARUN ZVEÈEVO 0,70 L;56896;;0,7000;L;13,39;19,13;;;13,39;3858894171798;Piæa
BRANDY DOMAÆI ZVEÈEVO 35% 1 L;56906;;1,0000;L;10,65;10,65;;;10,65;3858894171262;Piæa
LIKER PELINKOVAC ZVEÈ. 28%1 L;57157;;1,0000;L;11,97;11,97;;;10,79;3858894170920;Piæa
ŠAMPINJONI PODRAV.REZ.400 g ;57378;Podravka;0,2200;kg;2,29;10,41;;;2,29;3850104257834;Hrana
DOD.JE.FANT SLAV.ÈOB.LJUTI 90g;57380;Podravka;0,0900;kg;1,39;15,44;;;1,39;3850104226786;Hrana
ŠAMP.GLISS KUR OIL NUT. 250 ml;57536;Gliss Kur;0,2500;L;4,29;17,16;;;4,29;9000100398435;Kozmetika
REG.GLISS KUR OIL NUT. 200 ml;57542;Gliss Kur;0,2000;L;4,69;23,45;;;4,69;9000100398572;Kozmetika
BOJA PALETTE  DE LUXE 400;57563;Palette;1,0000;kom;5,99;5,99;;;5,99;3838824176734;Kozmetika
LIKER ORAHOVAC HR 0,70L;57685;;0,7000;l;17,02;24,31;;;17,02;3850158406066;Piæa
KAŠICA HIPP MESNA 190 g;58277;Hipp;0,1900;kg;2,04;10,74;;;2,04;4062300266247;Hrana
VINO  PLAVAC GRGUREVIÆ 0,75 L;58339;;0,7500;l;10,22;13,63;;;10,22;3859891461035;Piæa
SLAD.KING KORNET ÈOK.VA-160 ml;58354;Ledo;0,1600;L;2,69;16,81;;;2,89;3850116815107;Hrana
RIŽOTO S PIL.I POV. LEDO 600 g;58364;Ledo;0,6000;kg;5,79;9,65;;;4,99;3850116813912;Hrana
VATA CIK-CAK TOSAMA 50 g;58402;Tosama;0,0500;kg;1,49;29,80;;;1,49;3838985292021;Toaletne potrepštine
HIGIJENSKI ULOŠCI VIR 80 10/1;58404;Vir;10,0000;kom;2,65;0,27;;;1,99;3838985022390;Toaletne potrepštine
BLAZINICE JASMIN NATURE 90/1;58420;Jasmin;90,0000;kom;1,95;0,02;;;1,95;3838985442105;Toaletne potrepštine
BLAZIN.ZA DOJENJE TOTO 30/1;58422;Toto;1,0000;kom;3,39;3,39;;;3,39;3838985170596;Toaletne potrepštine
Švargli Slavonski;58444;Ravliæ;1,0000;kg;7,89;7,89;;;7,89;3859892369040;Hrana
MLINAC PAPAR CRN.ZRNO NAD.35g;58653;Kotanyi;0,0350;kg;5,59;159,71;;;5,59;3858881586086;Hrana
ZAÈ.GRILL BARBECUE KOTAN.80 g;58667;Kotanyi;0,0800;kg;2,99;37,38;;;1,34;9001414003275;Hrana
ZAÈ.GRILL PILETINA KOTAN.80 g;58673;Kotanyi;0,0800;kg;2,99;37,38;;;1,34;9001414003299;Hrana
ZAÈ.GRILL POVRÆE KOTANYI 80 g;58674;Kotanyi;0,0800;kg;2,99;37,38;;;1,34;9001414003305;Hrana
ZAÈ.GRILL KOTLET KOTANYI 80 g;58676;Kotanyi;0,0800;kg;2,99;37,38;;;1,34;9001414003329;Hrana
KOMPOT PODRAV.VIŠNJA BK.680 g;58724;Podravka;0,3400;kg;3,09;9,09;;;3,19;3850104223518;Hrana
VINO JP CHENET SHIRAZ 0,75 L ;58819;;0,7500;L;5,99;7,99;;;5,49;3263289998711;Piæa
BRITVICE WILKINSON BEUTY 5/1;58897;Wilkinson;1,0000;kom;2,69;2,69;;;2,99;4027800518838;Kozmetika
TEQUILA OLMECA BLANCO 0,7 L;58951;;0,7000;L;20,89;29,84;;;20,32;0080432115251;Piæa
ÈAJ HIPP ZA DOJILJE 200 g;58953;Hipp;0,2000;l;4,77;23,85;;;4,77;9062300133421;Hrana
TP ZEWA BRESKVA AT.3SL.16/1;59036;Zewa;16,0000;kom;6,49;0,41;;;4,99;7322540201192;Toaletne potrepštine
PERECI BABY SPAR 200 g;59037;SPAR;0,2000;kg;0,79;3,95;;;1,14;9100000081205;Hrana
OME.FROSCH CVIJET PAMU.750 ml;59542;Frosch;0,7500;L;2,69;3,59;;;2,69;4009175193612;Sredstva za èišæenje
HRENOVKE VP 200 g ;59757;Gavrilovic;0,2000;kg;2,29;11,45;;;2,19;3858881224766;Hrana
NEKTAR FRUCTAL CRNI RIBIZ 1 L;59819;Fructal;1,0000;L;2,49;2,49;;;2,29;3838945509015;Piæa
VINO BENVENUT.MALVAZ.0,75 L ;60039;;0,7500;L;17,45;23,27;;;15,79;3857500050106;Piæa
PRIP.ZA ŠLAG CREME PA.25% 1 L;60061;Meggle;1,0000;L;3,99;3,99;;;3,99;4034900027733;Hrana
STOCK 84 0,7 L;60285;Stock;0,7000;l;15,02;21,46;;;12,99;8000440396390;Piæa
JOGURT VOÆ.DUKATINO MIX 125 g;60290;Dukat;0,1250;kg;0,59;4,72;;;0,59;3850354001782;Hrana
SRED.SANIT.ORIG.CIT.FR.750 ml ;60293;Sanitar;0,7500;L;2,45;3,27;;;2,25;3850111502743;Sredstva za èišæenje
SRE.SANIT.ORIG.FOREST F.750 ml;60294;Sanitar;0,7500;L;2,45;3,27;;;2,25;3850111502736;Sredstva za èišæenje
KLOPKA RAID ZA ŽOHARE 1/1;60324;Raid;1,0000;kom;4,99;4,99;;;5,59;5000204332261;Proizvodi za kuæanstvo
MESNI NAREZAK GALA 150 g;60428;Gavrilovic;0,1500;kg;1,45;9,67;;;1,45;3858881224193;Hrana
ULOŠ.ULT.NOR.S KRIL.NATUR.10/1;60499;Naturella;10,0000;kom;1,55;0,16;;;1,55;4015400125037;Toaletne potrepštine
ULO.NATURELLA UL.NOR.KRIL.20/1;60501;Naturella;20,0000;kom;2,45;0,12;;;2,45;8001090585592;Toaletne potrepštine
TRAKE ZA DEP.VEET C.WAX 20/1;60597;Veet;20,0000;kom;8,09;0,40;;;7,49;5997321774732;Kozmetika
VINO GRAŠEV.KUTJEVO 0,75 L;60631;;0,7500;l;;8,39;6,29;7,79;7,79;3850156001133;Piæa
KAKAO NESQUIK SIRUP 403 g;60646;Nesquik;0,4030;kg;5,79;14,37;;;5,79;9002100023874;Hrana
UMAK DESPAR RAJÈ.BOS.400 g ;60656;Despar;0,4000;kg;2,19;5,48;;;2,25;8001300223115;Hrana
UMAK DESPAR ARRABBIATA 400 g;60657;Despar;0,4000;kg;2,19;5,48;;;2,25;8001300223122;Hrana
MASLINE KALAMATA SPAR BK 350 g;60660;SPAR;0,1850;kg;2,99;16,16;;;2,99;9100000078823;Hrana
MASLINE CRNE SPAR B.K. 225 g;60666;SPAR;0,1050;kg;1,69;16,10;;;1,69;9100000078700;Hrana
OCAT BALSAM.DESPAR 500 ml;60678;Despar;0,5000;l;2,49;4,98;;;1,79;8001300101772;Hrana
DJEÈJI VL.TOAL.PAP.LOVELY 60/1;60726;Lovely;60,0000;kom;1,29;0,02;;;1,49;9100000700434;Toaletne potrepštine
Svinjske kosti s mesom;60758;;1,0000;kg;1,99;1,99;;;1,99;3850139446142;Hrana
KOKICE SPAR SLANE 100 g;60898;SPAR;0,1000;kg;0,49;4,90;;;0,49;9100000754642;Hrana
KOKICE SPAR ZA MIKROVAL. 300 g;60899;SPAR;0,3000;kg;1,39;4,63;;;1,29;9100000754666;Hrana
KOKICE SPAR LIGHT 270 g;60900;SPAR;0,2700;kg;1,39;5,15;;;1,39;9100000754703;Hrana
Kobasica pariška;60910;Gavrilovic;1,0000;kg;10,79;10,79;;;8,79;3858881229082;Hrana
Kobasica tirolska;60911;Gavrilovic;1,0000;kg;10,99;10,99;;;12,59;3858881229075;Hrana
VINO ŽDREPÈEVA KRV 1 L;61039;;1,0000;l;;3,39;3,39;4,28;4,28;8600102938076;Piæa
Šunka suha Andro;61062;Andro;1,0000;kg;17,99;17,99;;;29,99;3858892820230;Hrana
SUHI VRGANJI 50 g;61063;;0,0500;kg;7,99;159,80;;;6,63;3859891224609;Hrana
SUHE TRUBAÈE 30 g;61064;;0,0300;kg;5,29;176,33;;;5,29;3859891224630;Hrana
SUHE LISIÈARKE 50 g;61065;;0,0500;kg;7,99;159,80;;;7,99;3859891224593;Hrana
MIRIS.VREÆICE LAVAND.CVIJ.20 g;61270;Luxor;1,0000;kom;2,49;2,49;;;2,49;3858881584013;Sredstva za èišæenje
ŠLAG TEK.DOLCELA BILJNI 0,5 L;61292;Dolcela;0,5000;L;2,19;4,38;;;2,19;3850104230578;Hrana
ŠEÆ.SMEÐI BILINGTON DARK 500 g;61382;Billington´S;0,5000;kg;3,59;7,18;;;3,59;5010651001313;Hrana
LIMUNOV SOK REALEMON 250 ml;61383;Realemon;0,2500;l;2,89;11,56;;;2,89;5410233710822;Hrana
GEL ÈIŠ.LIC.3U1 SN PURE 150 ml;61405;LOREAL;0,1500;L;6,99;46,60;;;6,99;3600540565402;Kozmetika
LIMETA SOK REALIME 250 ml;61411;Realime;0,2500;l;2,89;11,56;;;2,89;5410233740829;Hrana
LIMUNOV SOK REALEMON 500 ml;61412;Realemon;0,5000;l;4,49;8,98;;;4,51;5410233711829;Hrana
KUS KUS TIPIAK INSTANT  500 g;61413;Tipiak;0,5000;kg;2,99;5,98;;;4,09;3165440007082;Hrana
BULGUR PŠENICA 500 g;61432;Tipiak;0,5000;kg;4,19;8,38;;;5,49;3165440009260;Hrana
SVJEŽE TIJ. PIZZA WEWAL.400 g;61452;Stanic;0,4000;kg;1,99;4,98;;;1,99;9001536024219;Hrana
TEK.SAP.PAL.MILK&HONEY 750 ml;61465;Palmolive;0,7500;L;4,55;6,07;;;4,55;8693495008297;Kozmetika
ŠAM.SCHAUMA REGENERACI.400 ml;61524;Schauma;0,4000;L;2,99;7,48;;;2,79;3838824138923;Kozmetika
VINO CHARD.VRH.ERDUT 0,75 L;61575;;0,7500;l;10,52;14,03;;;10,52;3859889193573;Piæa
POLI NAREZAK 150 g;61595;Poli;0,1500;kg;1,99;13,27;;;1,99;3838977012897;Hrana
BOMBONI NEGRO MINT 100 g;61625;Negro;0,1000;kg;0,79;7,90;;;0,79;5310002360749;Hrana
DRESSI.DEVELEY COCKTAIL 75 ml ;61631;Develey;0,7500;L;0,79;1,05;;;0,79;4006824008013;Hrana
DRESS.DEVELEY ULJE I OC.75 ml ;61632;Develey;0,0750;l;0,79;10,53;;;0,79;4006824018180;Hrana
DES.DUKATIN.ÈOKO LJEŠ.4X62,5 g;61676;Dukat;0,2500;kg;1,99;7,96;;;1,99;3850354003854;Hrana
ZAÈ.PAPAR ZELEN.KOTANYI 100 g;61868;Kotanyi;0,1000;kg;7,79;77,90;;;7,79;9001414050026;Hrana
ZAÈ.PAPAR BIJELI KOTANYI 52 g;61878;Kotanyi;0,0520;kg;4,49;86,35;;;3,99;9001414003237;Hrana
ZAÈIN KIM CIJELI KOTANYI 28 g;61882;Kotanyi;0,0280;kg;1,39;49,64;;;1,29;9001414015308;Hrana
VINO KAIKEN ESTATE MAL.0,75 L ;62028;;0,7500;L;;9,32;6,99;9,22;8,99;7804303555013;Piæa
VINO KAIKEN CABER.SAUVI.0,75 L;62029;;0,7500;L;;9,32;6,99;9,22;9,22;7804303555006;Piæa
DRESS.DEVELEY BALSAMICO 75 ml ;62098;Develey;0,0750;L;0,79;10,53;;;0,79;4006824018067;Hrana
TJ.TALIANETTA UM.GLJIVE 140 g;62365;Podravka;0,1400;kg;2,49;17,79;;;2,49;3850104230967;Hrana
TJ.TALIANETTA CARBONARA 160 g;62366;Podravka;0,1600;kg;2,49;15,56;;;2,49;3850104230943;Hrana
VODKA COSMOPOLITAN MARASKA 1 L;62423;Maraska;1,0000;l;11,99;11,99;;;11,52;3850158409005;Piæa
VODKA MARASKA 0,1 L;62424;;0,1000;l;1,69;16,90;;;1,69;3850158409104;Piæa
VINO I LAMBRUSCO GINA 0,75 L;62535;Gina;0,7500;L;3,22;4,29;;;3,22;8009620202483;Piæa
VINO H.BIN 343 CA/SH 0,75 L ;62538;Weingut Schloss Fels;0,7500;l;5,02;6,69;;;5,02;9311043093302;Piæa
TJEST.TALIANETTA 4 SIRA 145 g;62752;Podravka;0,1450;kg;2,49;17,17;;;2,49;3850104231025;Hrana
TJ.TALIANETTA NAPOLITANA 160 g;62753;Podravka;0,1600;kg;2,49;15,56;;;2,49;3850104230981;Hrana
TJ.TALIANETTA BOLOGNESE 160 g;62754;Podravka;0,1600;kg;2,49;15,56;;;2,49;3850104230950;Hrana
SOJA PUDING ALP.VANIL.4X125 g;62781;Alpro;0,5000;kg;3,69;7,38;;;3,69;54051140;Piæa
VINO CAB.SAU.MONTES RE.0,75 L ;62804;;0,7500;L;9,32;12,43;;;9,32;7804303271142;Piæa
VINO MERLOT MONTES RESE.0,75 L;62806;;0,7500;L;9,32;12,43;;;9,32;7804303271166;Piæa
RIŽA SPAR PARBOILED 1 kg;62880;SPAR;1,0000;kg;2,49;2,49;;;2,79;9100000863009;Hrana
ŽITARICE SPAR MED 500 g;62883;SPAR;0,5000;kg;2,99;5,98;;;2,99;9100000783505;Hrana
DŽEM SPAR EXTRA VIŠNJA 450 g;62886;SPAR;0,4500;kg;2,79;6,20;;;2,79;9100000967806;Hrana
DŽEM SPAR EXTRA MARELICA 450 g;62887;SPAR;0,4500;kg;2,79;6,20;;;2,79;9100000967967;Hrana
DŽEM SPAR EXTRA JAGODA 450 g;62888;SPAR;0,4500;kg;2,79;6,20;;;2,79;9100000967929;Hrana
MARM.SPAR EXTRA NARANÈA 450 g;62897;SPAR;0,4500;kg;2,79;6,20;;;2,79;9100000967868;Hrana
PEKMEZ SPAR ŠLJIVA 440 g;62898;SPAR;0,4400;kg;2,79;6,34;;;2,79;9100000985909;Hrana
ŽITNA KAŠICA ÈOKOLINO 200 g;63024;Èokolino;0,2000;kg;2,59;12,95;;;2,59;3850104230011;Hrana
ŽITNA KAŠICA GRISOLINO 200 g;63027;Lino;0,2000;kg;2,34;11,70;;;2,19;3850104230035;Hrana
NAMAZ ST.DALFOUR NARANÈA 284 g;63028;St Dalfour;0,2840;kg;4,59;16,16;;;4,69;3492390007429;Hrana
ŽITNA KAŠICA KEKSOLINO 200 g;63029;Keksolino;0,2000;kg;2,49;12,45;;;2,59;3850104230066;Hrana
VINO PLAVAC MALI MAD.KV 0,75 L;63292;;0,7500;l;10,49;13,99;;;10,49;3859889833035;Piæa
ŽITNA KAŠICA MEDOLINO 200 g;63649;Lino;0,2000;kg;2,59;12,95;;;2,39;3850104430084;Hrana
ŽITNA KAŠICA FRUTOLINO 200 g;63650;Lino;0,2000;kg;2,59;12,95;;;2,59;3850104230073;Hrana
ŽITNA KAŠICA KEKSOLINO 500 g;63717;Keksolino;0,5000;kg;4,99;9,98;;;4,99;3850104218804;Hrana
Paprika crvena rog rfs;63726;;1,0000;kg;2,49;2,49;;;3,99;3858885877005;Hrana
ŠTAPIÆI KVIKI MAXI S KIK.190 g;63780;Kviki;0,1900;kg;;6,47;1,23;1,54;1,54;3850104235283;Hrana
Kolaè princ.kraf.130 g;63788;;0,1300;kg;1,55;11,92;;;1,55;3859893089329;Hrana
JOG.KREM STRACC.EUFORIJA 150 g;63797;Freska;0,1500;kg;0,95;6,33;;;0,95;3850108037630;Hrana
JOG.KREM EUFO.CRISPY MIX 150 g;63799;Freska;0,1500;kg;0,95;6,33;;;0,95;3850108037722;Hrana
NAPITAK ALPRO SOJA VANIL.1 L;64076;Alpro;1,0000;l;4,09;4,09;;;4,09;5411188081852;Piæa
ÈAJNI KOLUTIÆI KRAŠ 800 g;64078;Kraš;0,8000;kg;3,89;4,86;;;2,99;3850120700079;Hrana
ZUB.È.AQUAFRESH CLEAN 1+1;64120;Aquafresh;1,0000;kom;3,49;3,49;;;2,79;5054563931870;Kozmetika
VINO CHARDON.MONTES RE.0,75 L ;64126;;0,7500;L;9,09;12,12;;;9,32;7804303271159;Piæa
VOÆ.NEKTAR BRUSNICA-ARON. 1 L;64158;Juicy;1,0000;l;2,89;2,89;;;2,69;3858890970630;Piæa
VINO VRH.GRAŠEVINA BELJE 0,75L;64177;;0,7500;l;;11,99;8,99;11,02;11,02;3850257019051;Piæa
METLA SOB.DUACTIVA VILEDA;64216;;1,0000;kom;23,99;23,99;;;23,99;4023103095755;Proizvodi za kuæanstvo
NAPITAK ALPRO SOJA VAN.250 ml;64327;Alpro;0,2500;l;1,59;6,36;;;1,59;5411188082620;Piæa
NAPITAK ALPRO SOJA ÈOKO.250 ml;64329;Alpro;0,2500;l;1,59;6,36;;;1,59;5411188082637;Piæa
SLADILO SUSSINA 39 g;64330;Sussina;0,0390;kg;2,19;56,15;;;2,19;90125072;Hrana
EXTRAWURST VINDVAC 250 g;64410;Cekin;0,2500;kg;2,29;9,16;;;2,29;3850159122132;Hrana
ŽITNA KAŠICA KARAMELINO 200 g;64735;Lino;0,2000;kg;2,49;12,45;;;2,49;3850104230042;Hrana
VINO BABIÆ PILI.-BAR.0,75 L ;64761;;0,7500;l;13,99;18,65;;;12,22;3859892261030;Piæa
CROISSANT BAULI KAKAO 300 g;65063;Bauli;0,3000;kg;3,79;12,63;;;3,79;8001720645825;Hrana
ALUMINIJSKA FOLIJA 20m;65331;;1,0000;kom;4,99;4,99;;;4,99;5949509000058;Proizvodi za kuæanstvo
VINO DU.POD.RAG.CRNO 0,75 L;65368;;0,7500;l;4,81;6,41;;;4,81;3859890164173;Piæa
UNI.SRED.AJAX LILAC BREEZE 1 L;65419;Ajax;1,0000;L;3,69;3,69;;;3,69;8718951278516;Sredstva za èišæenje
KRUMPIR LIÈKI 2,5 kg;65486;;2,5000;kg;3,99;1,60;;;3,99;3859889293273;Hrana
ÈOK.ROCHER FERRERO T4X16 50 g;65505;Ferrero;0,0500;kg;2,09;41,80;;;1,89;80177043;Hrana
Svinjski bubreg HR;65533;;1,0000;kg;1,99;1,99;;;1,99;3858881613485;Hrana
UMAK CHIO TORTILLA SALSA 200 g;65546;Chio;0,2000;kg;3,49;17,45;;;3,49;4001242108222;Hrana
UMAK SOJA KIKKOMAN MARIN.250 g;65551;Kikkoman;0,2500;kg;6,79;27,16;;;6,79;8715035210301;Hrana
TORTILLAS LA FIESTA CORN 320 g;65552;Casa Fiesta;0,3200;kg;2,99;9,34;;;2,99;5412514934958;Hrana
ÈOKOLADA DORINA RIŽA 220 g;65681;Dorina;0,2200;kg;2,99;13,59;;;4,49;3850102123452;Hrana
ÈOKOLADA DORINA RIŽA 75 g ;65682;Dorina;0,0750;kg;1,89;25,20;;;1,89;3850102123681;Hrana
VLAŽ..TOA.PAP.LOVELY 60/1;65684;Lovely;60,0000;kom;1,29;0,02;;;1,29;9100000948492;Toaletne potrepštine
MASLINE ZELEN.OLICOOP BK 450 g;66019;Olicoop;0,2270;kg;4,09;18,02;;;4,09;8410522004776;Hrana
MASLINE CRNE OLICOOP BK 450 g;66022;Olicoop;0,2270;kg;4,09;18,02;;;4,09;8410522004813;Hrana
PRŠUT REZANI VP;67059;;1,0000;kg;38,29;38,29;;;38,29;3859892733056;Hrana
LIKER AMARO RAMAZZOTTI 0,7 L;67115;;0,7000;L;12,99;18,56;;;11,97;8006550301040;Piæa
KEKS GRANCEREALE ÈOKOLAD.230 g;67326;Mulino;0,2300;kg;2,79;12,13;;;2,79;8076809540155;Hrana
IN.KAVA JACOBS 3U1 MILKA 18 g;67328;Jacobs;0,0180;kg;0,45;25,00;;;0,45;8711000532744;Piæa
BOJA PALETTE  DE LUXE 555;67604;Palette;1,0000;kom;5,99;5,99;;;5,99;3838824176796;Kozmetika
VAFLI MANNER BOŽIÆNI 150g;68079;;0,1500;kg;;19,93;2,99;3,99;3,89;9000331647098;Hrana
SIR SVJEŽI VARAŽDINSKI 800 g;68107;Vindija;0,8000;kg;4,99;6,24;;;4,99;3850108058420;Hrana
VINO BARON D ARIGNAC 0,75 L;68249;;0,7500;l;3,59;4,79;;;3,59;3263286314989;Piæa
WC NET ENERGY AKT.ULOŽAK 38 g;68307;Wc Net;1,0000;kom;;1,59;1,59;2,79;2,79;8004050096398;Sredstva za èišæenje
PIRE KRUMPIR SPAR 230 g;68900;SPAR;0,2300;kg;1,79;7,78;;;1,79;9100000045658;Hrana
TJES.NATUR PUR TORI PISA 500 g;69209;Natur pur;0,5000;kg;1,72;3,44;;;1,72;9100000156200;Hrana
SOK NATUR PUR POVRTNI 0,75 L;69214;Natur pur;0,7500;l;2,39;3,19;;;2,36;9100000115238;Piæa
SOK NATUR PUR MRKVA 0,75 L;69221;Spar Natur pur;0,7500;l;2,39;3,19;;;2,32;9100000028026;Piæa
SOK NATUR PUR CIKLA BIO 0,75 L;69229;Spar Natur pur;0,7500;l;2,39;3,19;;;2,35;9100000027999;Piæa
SOK NATUR PUR RAJÈICA 0,75 L;69230;Spar Natur pur;0,7500;l;2,19;2,92;;;2,19;9100000115184;Piæa
ULOŠ.ALWAYS ULT.S.PL.DUO 2X8;69360;Always;16,0000;kom;3,45;0,22;;;3,45;8700216861069;Toaletne potrepštine
ULOŠ.ALWAYS ULT.NOR.DUO 2X10;69369;Always;20,0000;kom;3,49;0,17;;;3,49;8700216171311;Toaletne potrepštine
VINO ZL.ŽLAHTI.GRA.CRU 0,75 L;70256;;0,7500;l;15,29;20,39;;;15,29;3859889467032;Piæa
VINO ERDUT GRAŠEVINA VRH.0,75L;70258;;0,7500;L;9,49;12,65;;;9,49;3859889193597;Piæa
RAJÈ.SJECK.PODRAVKA LIM.400 g;70530;Podravka;0,4000;kg;1,89;4,73;;;1,99;3850104238802;Hrana
TJEST.RAGUSA PUŽIÆI 65 400 g;70541;Paradiso;0,4000;kg;1,59;3,98;;;1,59;3859889154055;Hrana
TJEST.RAGUSA VALVICE 400 g;70542;Paradiso;0,4000;kg;2,19;5,48;;;2,38;3859890765134;Hrana
TJEST.RAGUSA REZANCI EX.400 g;70544;Paradiso;0,4000;kg;2,19;5,48;;;2,38;3859889154611;Hrana
ŠAMP.H&S CITRUS FRESH 400 ml ;70657;Head&Shoulders;0,4000;L;6,19;15,48;;;6,19;5011321336032;Kozmetika
ŠAMPON H&S ÈISTA I 400 ml ;70659;Head&Shoulders;0,4000;L;6,19;15,48;;;6,19;5011321336049;Kozmetika
ŠAMP.H&S HIDRATIZIRANA 400 ml ;70660;Head&Shoulders;0,4000;L;6,19;15,48;;;6,19;5011321336063;Kozmetika
ŠAMPON H&S SENSITIVE 400 ml ;70664;Head&Shoulders;0,4000;L;6,19;15,48;;;6,19;5011321336124;Kozmetika
ÈAJ SPAR ŠIPAK 20/1 56 g;70680;SPAR;0,0560;kg;1,79;31,96;;;1,69;9100100122051;Piæa
ÈAJ SPAR MENTA 20/1 40 g;70686;SPAR;0,0400;kg;1,79;44,75;;;1,69;9100100122105;Piæa
ÈAJ SPAR KAMILICA 20/1 28 g;70689;SPAR;0,0280;kg;1,79;63,93;;;1,69;9100100132562;Piæa
ÈAJ SPAR VOÆNI 20/1 40 g;70691;SPAR;0,0400;kg;1,79;44,75;;;1,69;9100100122259;Piæa
VINO PERŠURIÆ M.MALVAZ.0,75 L;70813;;0,7500;L;10,49;13,99;;;7,99;3859890165019;Piæa
VINO ROSSI MALVAZIJA 0,75 L ;70814;;0,7500;L;15,99;21,32;;;17,29;3859891585014;Piæa
PAŠTETA ARGETA KOKOŠ.PIK.95 g;70817;Argeta;0,0950;kg;1,49;15,68;;;1,39;3838471007382;Hrana
SIR EMMENTAL PRESIDENT 250 g;70848;President;0,2500;kg;5,59;22,36;;;5,59;3228023910039;Hrana
SIR GORGONZOLA GALBANI 150 g;70849;Galbani;0,1500;kg;3,89;25,93;;;3,79;8000430058765;Hrana
VINO LUKAÈEVIÆ GRAŠEVINA 1 L;70868;;1,0000;l;4,89;4,89;;;4,89;3859892543280;Piæa
